State,Month,Year,Number Fatalities,Weekday (Y/N),Time of Day
TAS,9,2024,1,1,N
SA,9,2024,1,1,D
WA,9,2024,1,1,D
NSW,9,2024,1,1,D
SA,9,2024,1,1,D
NSW,9,2024,1,1,D
QLD,9,2024,1,1,D
WA,9,2024,1,1,D
TAS,9,2024,2,1,D
QLD,9,2024,1,1,D
QLD,9,2024,1,0,N
NSW,9,2024,1,0,N
NSW,9,2024,1,0,N
NSW,9,2024,1,0,N
WA,9,2024,1,0,N
NSW,9,2024,1,0,N
NSW,9,2024,4,0,N
VIC,9,2024,1,1,D
NSW,9,2024,1,1,D
QLD,9,2024,1,1,D
TAS,9,2024,1,1,D
NSW,9,2024,1,1,D
QLD,9,2024,1,1,D
NSW,9,2024,1,1,D
VIC,9,2024,1,1,D
QLD,9,2024,2,0,N
WA,9,2024,1,0,N
VIC,9,2024,1,0,D
VIC,9,2024,1,0,D
VIC,9,2024,1,0,D
VIC,9,2024,1,0,D
QLD,9,2024,1,0,N
VIC,9,2024,1,0,N
NSW,9,2024,1,0,N
VIC,9,2024,1,0,N
NSW,9,2024,1,0,N
WA,9,2024,1,0,N
QLD,9,2024,1,0,N
NSW,9,2024,2,0,N
NSW,9,2024,1,0,N
TAS,9,2024,1,0,N
NT,9,2024,1,0,N
NT,9,2024,1,0,D
VIC,9,2024,1,0,D
NSW,9,2024,1,0,D
WA,9,2024,1,0,D
NT,9,2024,1,0,D
VIC,9,2024,1,0,D
SA,9,2024,1,0,D
QLD,9,2024,1,0,D
NSW,9,2024,1,0,D
NT,9,2024,1,0,D
QLD,9,2024,1,0,N
VIC,9,2024,1,0,N
VIC,9,2024,1,0,N
WA,9,2024,1,0,N
QLD,9,2024,1,1,N
WA,9,2024,1,1,N
QLD,9,2024,1,1,N
NSW,9,2024,1,1,N
VIC,9,2024,1,1,N
NSW,9,2024,1,1,D
VIC,9,2024,1,1,D
QLD,9,2024,1,1,D
QLD,9,2024,1,1,D
VIC,9,2024,1,1,D
VIC,9,2024,1,1,D
WA,9,2024,1,1,D
NSW,9,2024,1,1,N
QLD,9,2024,1,1,N
WA,9,2024,1,1,D
NSW,9,2024,1,1,D
QLD,9,2024,1,1,D
WA,9,2024,1,1,N
WA,9,2024,1,1,N
VIC,9,2024,1,1,N
NSW,9,2024,1,1,D
WA,9,2024,1,1,D
QLD,9,2024,1,1,D
VIC,9,2024,1,1,D
NSW,9,2024,1,1,D
NSW,9,2024,1,1,D
NSW,9,2024,1,1,D
WA,9,2024,1,1,N
VIC,9,2024,1,1,N
QLD,9,2024,1,1,N
VIC,9,2024,1,1,N
NSW,9,2024,2,1,N
QLD,8,2024,1,1,N
QLD,8,2024,1,1,N
QLD,8,2024,1,1,N
VIC,8,2024,1,1,D
VIC,8,2024,1,1,D
WA,8,2024,1,1,D
VIC,8,2024,1,1,D
QLD,8,2024,2,1,D
QLD,8,2024,1,1,D
NT,8,2024,1,1,D
QLD,8,2024,1,1,D
TAS,8,2024,1,1,D
NSW,8,2024,1,1,D
NSW,8,2024,1,1,D
QLD,8,2024,1,0,N
NSW,8,2024,1,0,N
WA,8,2024,1,0,N
NSW,8,2024,1,0,N
NSW,8,2024,1,0,N
QLD,8,2024,1,0,N
NT,8,2024,1,0,N
VIC,8,2024,1,0,N
WA,8,2024,1,0,N
VIC,8,2024,1,0,N
QLD,8,2024,1,1,D
NSW,8,2024,1,1,D
SA,8,2024,1,1,D
WA,8,2024,1,1,D
NSW,8,2024,1,1,D
WA,8,2024,1,1,D
VIC,8,2024,1,1,D
NSW,8,2024,1,1,D
VIC,8,2024,1,1,D
NSW,8,2024,1,1,D
SA,8,2024,1,1,N
TAS,8,2024,1,0,N
NSW,8,2024,2,0,N
NT,8,2024,1,0,D
QLD,8,2024,1,0,D
WA,8,2024,1,0,D
TAS,8,2024,1,0,D
VIC,8,2024,1,0,D
NSW,8,2024,1,0,D
VIC,8,2024,2,0,N
VIC,8,2024,1,0,N
NSW,8,2024,1,0,N
QLD,8,2024,1,0,N
WA,8,2024,3,0,N
VIC,8,2024,1,0,N
QLD,8,2024,1,0,N
VIC,8,2024,1,0,N
WA,8,2024,1,0,N
QLD,8,2024,1,0,N
VIC,8,2024,1,0,D
SA,8,2024,1,0,D
VIC,8,2024,1,0,D
QLD,8,2024,3,0,D
VIC,8,2024,1,0,D
WA,8,2024,1,0,N
QLD,8,2024,1,1,D
VIC,8,2024,1,1,D
QLD,8,2024,1,1,D
SA,8,2024,1,1,D
VIC,8,2024,1,1,D
QLD,8,2024,1,1,D
SA,8,2024,1,1,N
NT,8,2024,1,1,N
TAS,8,2024,1,1,N
QLD,8,2024,1,1,N
WA,8,2024,1,1,N
VIC,8,2024,1,1,D
VIC,8,2024,1,1,D
VIC,8,2024,1,1,D
NSW,8,2024,1,1,D
WA,8,2024,1,1,N
SA,8,2024,1,1,N
VIC,8,2024,1,1,N
VIC,8,2024,1,1,N
SA,8,2024,1,1,N
VIC,8,2024,1,1,D
QLD,8,2024,1,1,D
VIC,8,2024,1,1,D
QLD,8,2024,1,1,D
QLD,8,2024,1,1,N
QLD,8,2024,1,1,N
WA,8,2024,1,1,N
NT,8,2024,1,1,N
SA,8,2024,1,1,N
WA,8,2024,1,1,N
VIC,7,2024,1,1,N
QLD,7,2024,1,1,D
SA,7,2024,1,1,D
QLD,7,2024,1,1,D
NT,7,2024,1,1,D
NT,7,2024,2,1,D
TAS,7,2024,2,1,D
VIC,7,2024,2,1,D
NT,7,2024,2,1,D
NSW,7,2024,1,1,D
QLD,7,2024,1,1,D
NT,7,2024,1,1,D
NSW,7,2024,1,1,D
NSW,7,2024,1,0,N
NSW,7,2024,1,1,D
NSW,7,2024,1,1,D
WA,7,2024,1,1,D
WA,7,2024,1,1,D
TAS,7,2024,1,1,D
NSW,7,2024,1,1,D
NSW,7,2024,1,1,D
SA,7,2024,1,1,D
QLD,7,2024,1,1,D
VIC,7,2024,1,1,D
WA,7,2024,1,1,D
NSW,7,2024,1,1,N
VIC,7,2024,2,1,N
NSW,7,2024,2,1,N
NT,7,2024,1,1,N
NSW,7,2024,1,0,N
QLD,7,2024,1,0,N
TAS,7,2024,2,0,D
VIC,7,2024,1,0,D
WA,7,2024,1,0,D
QLD,7,2024,2,0,D
QLD,7,2024,1,0,D
VIC,7,2024,1,0,D
VIC,7,2024,1,0,D
NSW,7,2024,1,0,D
NSW,7,2024,1,0,N
VIC,7,2024,1,0,N
WA,7,2024,1,0,N
NSW,7,2024,1,0,N
TAS,7,2024,1,0,N
NSW,7,2024,1,0,D
WA,7,2024,1,0,D
VIC,7,2024,1,0,D
NT,7,2024,1,0,D
NSW,7,2024,1,0,D
VIC,7,2024,1,0,D
VIC,7,2024,1,0,D
VIC,7,2024,1,0,D
NSW,7,2024,3,0,D
QLD,7,2024,1,0,D
NSW,7,2024,2,0,D
NSW,7,2024,1,0,D
QLD,7,2024,1,0,D
QLD,7,2024,1,0,D
NSW,7,2024,1,0,N
NT,7,2024,1,0,N
QLD,7,2024,1,1,N
QLD,7,2024,1,1,N
QLD,7,2024,1,1,D
SA,7,2024,1,1,D
NSW,7,2024,1,1,D
NSW,7,2024,1,1,D
VIC,7,2024,2,1,D
QLD,7,2024,1,1,D
QLD,7,2024,1,1,D
QLD,7,2024,1,1,D
SA,7,2024,1,1,D
QLD,7,2024,1,1,D
VIC,7,2024,1,1,D
WA,7,2024,1,1,D
SA,7,2024,1,1,D
NSW,7,2024,1,1,N
VIC,7,2024,1,1,D
VIC,7,2024,1,1,D
SA,7,2024,1,1,D
QLD,7,2024,1,1,D
NSW,7,2024,1,1,D
VIC,7,2024,1,1,D
NT,7,2024,1,1,D
QLD,7,2024,1,1,D
NSW,7,2024,1,1,D
NSW,7,2024,1,1,D
NSW,7,2024,1,1,D
VIC,7,2024,1,1,D
VIC,7,2024,1,1,N
QLD,7,2024,1,1,N
VIC,7,2024,1,1,N
WA,7,2024,1,1,N
QLD,7,2024,2,1,N
WA,7,2024,1,1,N
VIC,7,2024,1,1,N
NSW,7,2024,1,1,N
WA,7,2024,2,1,N
WA,7,2024,1,1,N
VIC,7,2024,1,1,D
WA,7,2024,1,1,D
NSW,7,2024,1,1,D
QLD,7,2024,1,1,D
NSW,7,2024,1,1,D
WA,7,2024,1,1,D
QLD,7,2024,1,1,D
NSW,7,2024,1,1,D
NSW,7,2024,1,1,D
VIC,7,2024,2,1,D
NSW,7,2024,1,1,D
VIC,7,2024,1,1,D
VIC,7,2024,1,1,D
VIC,7,2024,1,1,N
VIC,7,2024,1,1,N
WA,7,2024,1,1,N
VIC,6,2024,1,1,N
WA,6,2024,2,1,D
VIC,6,2024,1,1,D
QLD,6,2024,2,1,D
QLD,6,2024,1,1,D
VIC,6,2024,1,1,D
SA,6,2024,1,1,D
NSW,6,2024,1,1,D
NSW,6,2024,1,1,D
NSW,6,2024,1,0,N
VIC,6,2024,1,0,N
VIC,6,2024,1,0,N
QLD,6,2024,1,0,N
QLD,6,2024,1,0,N
SA,6,2024,1,1,D
NSW,6,2024,1,1,D
QLD,6,2024,3,1,D
VIC,6,2024,1,1,D
QLD,6,2024,1,1,D
SA,6,2024,1,1,D
VIC,6,2024,1,1,D
SA,6,2024,1,1,D
NSW,6,2024,1,1,D
NSW,6,2024,1,1,D
NSW,6,2024,1,1,D
NSW,6,2024,1,1,N
WA,6,2024,3,1,N
QLD,6,2024,1,1,N
QLD,6,2024,1,0,N
NT,6,2024,1,0,D
NT,6,2024,1,0,D
NT,6,2024,1,0,D
WA,6,2024,1,0,D
QLD,6,2024,1,0,D
WA,6,2024,1,0,N
WA,6,2024,1,0,N
VIC,6,2024,1,0,N
QLD,6,2024,1,0,N
QLD,6,2024,1,0,N
QLD,6,2024,1,0,N
VIC,6,2024,1,0,N
QLD,6,2024,1,0,D
NSW,6,2024,1,0,D
VIC,6,2024,1,0,D
QLD,6,2024,3,0,D
NSW,6,2024,1,0,D
NSW,6,2024,1,0,D
QLD,6,2024,1,0,D
VIC,6,2024,1,0,D
SA,6,2024,1,0,D
SA,6,2024,1,0,D
VIC,6,2024,1,0,D
SA,6,2024,1,0,N
QLD,6,2024,1,0,N
NSW,6,2024,1,0,N
NSW,6,2024,1,0,N
NSW,6,2024,1,1,D
WA,6,2024,1,1,D
NSW,6,2024,1,1,D
NSW,6,2024,1,1,D
QLD,6,2024,1,1,N
WA,6,2024,1,1,N
NSW,6,2024,1,1,N
QLD,6,2024,1,1,N
NT,6,2024,1,1,Unknown
NT,6,2024,1,1,N
QLD,6,2024,1,1,D
NSW,6,2024,1,1,D
VIC,6,2024,2,1,D
QLD,6,2024,1,1,D
QLD,6,2024,1,1,D
NSW,6,2024,1,1,D
QLD,6,2024,1,1,D
QLD,6,2024,1,1,D
NSW,6,2024,1,1,D
ACT,6,2024,1,1,D
SA,6,2024,1,1,N
VIC,6,2024,1,1,N
NSW,6,2024,1,1,N
VIC,6,2024,1,1,D
VIC,6,2024,1,1,D
WA,6,2024,1,1,D
QLD,6,2024,1,1,D
VIC,6,2024,1,1,D
NSW,6,2024,1,1,D
NSW,6,2024,1,1,D
NSW,6,2024,1,1,D
VIC,6,2024,1,1,N
WA,6,2024,1,1,N
WA,6,2024,1,1,N
NSW,6,2024,1,1,N
QLD,6,2024,1,1,N
NSW,5,2024,1,1,D
QLD,5,2024,1,1,D
SA,5,2024,2,1,D
NSW,5,2024,1,1,D
WA,5,2024,1,1,D
VIC,5,2024,1,0,N
NSW,5,2024,1,0,N
NSW,5,2024,1,0,N
QLD,5,2024,1,0,N
VIC,5,2024,1,0,N
NSW,5,2024,1,0,N
NT,5,2024,1,0,N
VIC,5,2024,1,0,N
WA,5,2024,1,1,D
QLD,5,2024,1,1,D
TAS,5,2024,1,1,D
VIC,5,2024,1,1,D
VIC,5,2024,1,1,N
WA,5,2024,1,1,N
SA,5,2024,1,0,D
VIC,5,2024,1,0,D
VIC,5,2024,1,0,D
QLD,5,2024,1,0,D
QLD,5,2024,1,0,N
WA,5,2024,1,0,N
QLD,5,2024,1,0,D
NSW,5,2024,1,0,D
VIC,5,2024,1,0,D
NT,5,2024,1,0,D
VIC,5,2024,1,0,D
NT,5,2024,1,0,D
VIC,5,2024,1,0,D
WA,5,2024,1,0,N
WA,5,2024,1,0,N
NSW,5,2024,2,0,N
WA,5,2024,1,0,N
NSW,5,2024,2,0,N
NSW,5,2024,1,0,N
QLD,5,2024,3,1,N
ACT,5,2024,1,1,D
VIC,5,2024,1,1,D
QLD,5,2024,1,1,D
VIC,5,2024,1,1,D
VIC,5,2024,1,1,D
QLD,5,2024,1,1,D
NSW,5,2024,1,1,D
VIC,5,2024,1,1,N
WA,5,2024,1,1,N
NSW,5,2024,1,1,N
NT,5,2024,1,1,Unknown
QLD,5,2024,1,1,N
QLD,5,2024,1,1,N
NSW,5,2024,1,1,D
VIC,5,2024,1,1,D
VIC,5,2024,2,1,D
VIC,5,2024,1,1,D
NSW,5,2024,1,1,D
NSW,5,2024,1,1,D
WA,5,2024,1,1,D
QLD,5,2024,1,1,D
VIC,5,2024,1,1,D
WA,5,2024,1,1,D
TAS,5,2024,1,1,D
SA,5,2024,1,1,D
WA,5,2024,1,1,D
NSW,5,2024,1,1,N
NSW,5,2024,2,1,N
NSW,5,2024,1,1,N
NSW,5,2024,1,1,N
NSW,5,2024,2,1,N
VIC,5,2024,1,1,N
NSW,5,2024,1,1,N
WA,5,2024,1,1,N
QLD,5,2024,1,1,D
QLD,5,2024,1,1,D
WA,5,2024,1,1,D
VIC,5,2024,1,1,D
QLD,5,2024,2,1,D
VIC,5,2024,1,1,D
SA,5,2024,1,1,D
VIC,5,2024,1,1,D
SA,5,2024,1,1,D
NSW,5,2024,1,1,N
NSW,5,2024,1,1,N
VIC,5,2024,1,1,N
VIC,5,2024,1,1,N
WA,5,2024,1,1,N
VIC,5,2024,1,1,N
NT,5,2024,1,1,N
WA,4,2024,4,1,N
QLD,4,2024,1,1,N
WA,4,2024,1,1,N
NSW,4,2024,1,1,N
VIC,4,2024,1,1,D
VIC,4,2024,1,1,D
NSW,4,2024,1,1,D
VIC,4,2024,1,1,D
NSW,4,2024,1,1,D
WA,4,2024,1,1,D
TAS,4,2024,1,1,D
VIC,4,2024,1,0,N
NSW,4,2024,1,0,N
QLD,4,2024,3,0,N
NSW,4,2024,2,0,N
TAS,4,2024,1,1,D
WA,4,2024,1,1,D
SA,4,2024,1,1,D
QLD,4,2024,1,1,D
NSW,4,2024,1,1,D
QLD,4,2024,1,1,D
NSW,4,2024,1,1,D
QLD,4,2024,1,1,D
NSW,4,2024,1,1,D
NSW,4,2024,2,1,D
NSW,4,2024,1,1,N
SA,4,2024,1,1,N
VIC,4,2024,1,0,N
WA,4,2024,1,0,N
NSW,4,2024,1,0,N
NSW,4,2024,1,0,D
NSW,4,2024,1,0,D
QLD,4,2024,1,0,D
NSW,4,2024,1,0,D
QLD,4,2024,1,0,D
QLD,4,2024,1,0,D
NSW,4,2024,1,0,N
VIC,4,2024,2,0,N
NSW,4,2024,1,0,N
NSW,4,2024,1,0,N
NSW,4,2024,1,0,N
QLD,4,2024,1,0,N
QLD,4,2024,1,0,D
WA,4,2024,1,0,D
VIC,4,2024,1,0,D
NSW,4,2024,1,0,D
QLD,4,2024,1,0,D
NT,4,2024,1,0,D
QLD,4,2024,1,0,D
VIC,4,2024,1,0,D
ACT,4,2024,1,0,D
VIC,4,2024,1,0,D
WA,4,2024,1,0,D
QLD,4,2024,1,0,D
QLD,4,2024,1,0,N
WA,4,2024,1,0,N
NSW,4,2024,1,0,N
NSW,4,2024,1,0,N
QLD,4,2024,1,1,N
NSW,4,2024,1,1,N
QLD,4,2024,2,1,D
SA,4,2024,3,1,D
VIC,4,2024,1,1,D
VIC,4,2024,1,1,D
WA,4,2024,1,1,D
WA,4,2024,1,1,D
NSW,4,2024,1,1,D
WA,4,2024,1,1,D
NSW,4,2024,1,1,D
NSW,4,2024,2,1,D
TAS,4,2024,1,1,D
WA,4,2024,1,1,D
VIC,4,2024,1,1,D
VIC,4,2024,1,1,D
NSW,4,2024,1,1,D
VIC,4,2024,1,1,D
NSW,4,2024,1,1,N
NSW,4,2024,1,1,N
NSW,4,2024,1,1,N
VIC,4,2024,1,1,D
NSW,4,2024,1,1,D
VIC,4,2024,1,1,D
QLD,4,2024,1,1,D
NSW,4,2024,1,1,D
SA,4,2024,1,1,D
WA,4,2024,1,1,D
NSW,4,2024,1,1,D
QLD,4,2024,1,1,D
QLD,4,2024,1,1,D
NSW,4,2024,1,1,N
NT,4,2024,1,1,N
NSW,4,2024,2,1,N
ACT,4,2024,1,1,N
WA,4,2024,1,1,D
NSW,4,2024,1,1,D
SA,4,2024,1,1,D
QLD,4,2024,1,1,D
QLD,4,2024,1,1,D
SA,4,2024,1,1,D
QLD,4,2024,1,1,D
QLD,4,2024,1,1,N
TAS,3,2024,1,1,N
VIC,3,2024,1,1,N
SA,3,2024,1,1,N
NT,3,2024,1,1,N
NSW,3,2024,1,1,N
NSW,3,2024,1,1,N
VIC,3,2024,1,1,N
NSW,3,2024,1,1,D
NSW,3,2024,1,1,D
VIC,3,2024,1,1,D
QLD,3,2024,1,1,D
WA,3,2024,1,1,D
VIC,3,2024,1,1,D
TAS,3,2024,1,1,D
WA,3,2024,1,1,D
NSW,3,2024,1,1,D
NSW,3,2024,1,1,D
QLD,3,2024,1,1,D
VIC,3,2024,1,1,D
VIC,3,2024,1,1,D
WA,3,2024,1,1,D
WA,3,2024,1,0,N
VIC,3,2024,1,0,N
NSW,3,2024,1,0,N
QLD,3,2024,3,0,N
VIC,3,2024,1,0,N
QLD,3,2024,1,0,N
NSW,3,2024,1,0,N
WA,3,2024,1,0,N
WA,3,2024,1,0,N
TAS,3,2024,1,0,N
NSW,3,2024,1,1,D
SA,3,2024,1,1,D
VIC,3,2024,1,1,D
VIC,3,2024,1,1,N
QLD,3,2024,1,1,N
VIC,3,2024,1,0,N
VIC,3,2024,1,0,D
WA,3,2024,1,0,D
NSW,3,2024,1,0,D
VIC,3,2024,1,0,D
WA,3,2024,2,0,D
NSW,3,2024,1,0,D
QLD,3,2024,1,0,D
QLD,3,2024,1,0,N
QLD,3,2024,1,0,N
VIC,3,2024,1,0,N
NSW,3,2024,1,0,N
NSW,3,2024,1,0,N
WA,3,2024,1,0,D
NT,3,2024,1,0,D
SA,3,2024,1,0,D
VIC,3,2024,1,0,D
NSW,3,2024,1,0,D
NSW,3,2024,1,0,D
WA,3,2024,1,0,D
NSW,3,2024,1,0,D
VIC,3,2024,1,0,D
SA,3,2024,2,0,D
NT,3,2024,1,0,N
VIC,3,2024,1,0,N
WA,3,2024,1,0,N
WA,3,2024,1,0,N
VIC,3,2024,1,0,N
NSW,3,2024,1,0,N
QLD,3,2024,1,0,N
VIC,3,2024,1,1,N
QLD,3,2024,1,1,N
QLD,3,2024,1,1,N
WA,3,2024,1,1,N
QLD,3,2024,1,1,N
WA,3,2024,2,1,N
WA,3,2024,1,1,N
QLD,3,2024,1,1,D
VIC,3,2024,1,1,D
QLD,3,2024,1,1,D
QLD,3,2024,1,1,D
WA,3,2024,1,1,D
VIC,3,2024,1,1,D
NSW,3,2024,1,1,D
NT,3,2024,2,1,D
WA,3,2024,1,1,D
NSW,3,2024,1,1,D
VIC,3,2024,1,1,D
QLD,3,2024,1,1,D
VIC,3,2024,1,1,D
QLD,3,2024,1,1,D
SA,3,2024,1,1,D
VIC,3,2024,2,1,N
NSW,3,2024,1,1,N
NSW,3,2024,1,1,N
NT,3,2024,1,1,N
VIC,3,2024,1,1,N
NSW,3,2024,1,1,D
SA,3,2024,1,1,D
VIC,3,2024,1,1,D
VIC,3,2024,1,1,D
VIC,3,2024,1,1,D
NSW,3,2024,1,1,N
NSW,3,2024,1,1,N
QLD,3,2024,1,1,N
QLD,3,2024,1,1,D
QLD,3,2024,1,1,D
ACT,3,2024,1,1,D
WA,3,2024,1,1,D
VIC,3,2024,1,1,N
VIC,2,2024,1,1,N
NSW,2,2024,1,1,D
SA,2,2024,2,1,D
SA,2,2024,1,1,D
QLD,2,2024,1,1,D
NSW,2,2024,1,1,D
SA,2,2024,1,1,D
QLD,2,2024,1,1,D
NSW,2,2024,1,1,D
NSW,2,2024,1,1,D
VIC,2,2024,1,1,D
VIC,2,2024,1,1,D
WA,2,2024,1,1,D
WA,2,2024,1,1,D
VIC,2,2024,1,1,D
VIC,2,2024,1,1,D
NSW,2,2024,1,1,D
SA,2,2024,1,0,N
VIC,2,2024,1,0,N
VIC,2,2024,1,0,N
QLD,2,2024,1,0,N
NSW,2,2024,1,0,N
QLD,2,2024,1,1,D
QLD,2,2024,1,1,D
VIC,2,2024,1,1,D
QLD,2,2024,1,1,D
SA,2,2024,1,1,D
NSW,2,2024,1,1,D
QLD,2,2024,1,1,D
NSW,2,2024,1,1,D
WA,2,2024,1,1,D
VIC,2,2024,1,1,D
QLD,2,2024,2,1,N
SA,2,2024,1,1,N
NSW,2,2024,4,0,N
VIC,2,2024,1,0,N
QLD,2,2024,1,0,N
QLD,2,2024,1,0,D
NSW,2,2024,1,0,D
VIC,2,2024,1,0,D
QLD,2,2024,1,0,D
SA,2,2024,1,0,D
NSW,2,2024,1,0,D
VIC,2,2024,1,0,D
VIC,2,2024,1,0,D
WA,2,2024,1,0,D
WA,2,2024,1,0,D
VIC,2,2024,1,0,D
NSW,2,2024,3,0,N
VIC,2,2024,1,0,N
VIC,2,2024,1,0,N
VIC,2,2024,1,0,N
QLD,2,2024,1,0,N
NSW,2,2024,1,0,D
QLD,2,2024,1,0,D
QLD,2,2024,1,0,D
NSW,2,2024,1,0,D
QLD,2,2024,1,0,D
WA,2,2024,2,0,D
VIC,2,2024,1,0,D
VIC,2,2024,1,0,D
QLD,2,2024,1,0,D
NT,2,2024,4,0,N
NSW,2,2024,1,0,N
NT,2,2024,1,0,N
QLD,2,2024,1,0,N
VIC,2,2024,1,0,N
WA,2,2024,1,1,N
VIC,2,2024,1,1,D
QLD,2,2024,1,1,D
SA,2,2024,1,1,D
QLD,2,2024,1,1,D
QLD,2,2024,1,1,D
QLD,2,2024,1,1,D
WA,2,2024,1,1,D
NSW,2,2024,1,1,D
NSW,2,2024,1,1,D
NSW,2,2024,1,1,N
NT,2,2024,1,1,N
QLD,2,2024,1,1,N
QLD,2,2024,1,1,D
WA,2,2024,1,1,D
VIC,2,2024,1,1,D
QLD,2,2024,1,1,D
WA,2,2024,1,1,D
VIC,2,2024,1,1,D
NSW,2,2024,1,1,D
SA,2,2024,1,1,D
QLD,2,2024,1,1,N
NSW,2,2024,1,1,N
NT,2,2024,1,1,N
VIC,2,2024,1,1,D
NSW,2,2024,1,1,D
NSW,2,2024,1,1,D
QLD,2,2024,1,1,D
SA,2,2024,1,1,D
NSW,2,2024,1,1,D
QLD,2,2024,1,1,D
QLD,2,2024,1,1,N
NT,2,2024,1,1,N
NSW,2,2024,1,1,N
WA,2,2024,1,1,N
WA,1,2024,1,1,N
NSW,1,2024,1,1,D
NSW,1,2024,1,1,D
QLD,1,2024,1,1,D
NSW,1,2024,1,1,D
VIC,1,2024,1,1,D
NSW,1,2024,1,1,D
NSW,1,2024,1,1,D
NSW,1,2024,1,1,D
QLD,1,2024,1,0,N
QLD,1,2024,1,0,N
NT,1,2024,1,0,N
QLD,1,2024,1,0,N
NT,1,2024,1,1,Unknown
NSW,1,2024,1,0,N
NSW,1,2024,1,1,D
NSW,1,2024,1,1,D
VIC,1,2024,1,1,D
WA,1,2024,1,1,D
QLD,1,2024,1,1,D
NSW,1,2024,2,1,D
VIC,1,2024,1,1,N
NSW,1,2024,2,1,N
TAS,1,2024,1,1,N
NSW,1,2024,1,0,N
WA,1,2024,1,0,D
VIC,1,2024,1,0,D
VIC,1,2024,1,0,D
TAS,1,2024,1,0,D
NT,1,2024,1,0,N
QLD,1,2024,1,0,N
SA,1,2024,1,0,N
VIC,1,2024,1,0,N
SA,1,2024,1,0,N
VIC,1,2024,1,0,N
WA,1,2024,2,0,N
QLD,1,2024,1,0,D
VIC,1,2024,2,0,D
QLD,1,2024,1,0,D
QLD,1,2024,1,0,D
VIC,1,2024,1,0,D
NSW,1,2024,1,0,N
QLD,1,2024,1,0,N
VIC,1,2024,1,1,N
NSW,1,2024,1,1,N
QLD,1,2024,1,1,N
NSW,1,2024,1,1,N
QLD,1,2024,1,1,D
VIC,1,2024,1,1,D
VIC,1,2024,1,1,D
WA,1,2024,1,1,D
NSW,1,2024,2,1,D
NSW,1,2024,1,1,D
QLD,1,2024,1,1,D
QLD,1,2024,1,1,D
WA,1,2024,1,1,D
SA,1,2024,1,1,D
QLD,1,2024,1,1,D
VIC,1,2024,1,1,D
NSW,1,2024,1,1,D
VIC,1,2024,2,1,N
NSW,1,2024,1,1,D
WA,1,2024,1,1,D
WA,1,2024,1,1,D
VIC,1,2024,1,1,D
NSW,1,2024,1,1,D
WA,1,2024,1,1,D
VIC,1,2024,1,1,D
WA,1,2024,1,1,D
WA,1,2024,1,1,N
QLD,1,2024,1,1,N
NSW,1,2024,1,1,N
NSW,1,2024,1,1,N
QLD,1,2024,1,1,D
NSW,1,2024,1,1,D
QLD,1,2024,1,1,D
VIC,1,2024,1,1,D
NSW,1,2024,1,1,D
QLD,1,2024,1,1,D
WA,1,2024,1,1,D
NSW,1,2024,1,1,D
WA,1,2024,1,1,D
QLD,1,2024,1,1,D
NSW,1,2024,1,1,D
NSW,1,2024,1,1,N
VIC,1,2024,1,1,N
NSW,1,2024,1,1,N
WA,1,2024,1,1,N
SA,1,2024,1,1,N
VIC,1,2024,1,1,N
ACT,1,2024,1,1,N
SA,12,2023,1,1,N
SA,12,2023,1,1,N
QLD,12,2023,1,1,D
TAS,12,2023,1,1,D
QLD,12,2023,1,1,D
WA,12,2023,1,1,D
TAS,12,2023,1,1,D
NSW,12,2023,3,1,D
NSW,12,2023,1,1,D
VIC,12,2023,1,1,D
NSW,12,2023,1,1,D
QLD,12,2023,1,1,D
VIC,12,2023,2,1,D
QLD,12,2023,1,0,N
QLD,12,2023,1,0,N
NT,12,2023,1,0,N
NSW,12,2023,1,0,N
WA,12,2023,1,0,N
VIC,12,2023,1,1,D
NSW,12,2023,1,1,D
NSW,12,2023,1,1,D
VIC,12,2023,1,1,D
VIC,12,2023,1,1,D
QLD,12,2023,1,1,D
SA,12,2023,1,1,D
VIC,12,2023,1,1,D
WA,12,2023,1,1,D
WA,12,2023,1,1,D
SA,12,2023,1,1,N
VIC,12,2023,1,1,N
WA,12,2023,1,1,N
VIC,12,2023,1,1,N
QLD,12,2023,1,0,N
VIC,12,2023,1,0,N
NSW,12,2023,1,0,N
NSW,12,2023,1,0,D
WA,12,2023,1,0,D
NSW,12,2023,2,0,D
NSW,12,2023,1,0,D
NSW,12,2023,1,0,D
WA,12,2023,1,0,D
QLD,12,2023,1,0,D
WA,12,2023,1,0,D
NSW,12,2023,1,0,D
QLD,12,2023,2,0,D
TAS,12,2023,1,0,D
VIC,12,2023,1,0,D
VIC,12,2023,1,0,N
QLD,12,2023,1,0,N
WA,12,2023,1,0,N
NSW,12,2023,1,0,N
QLD,12,2023,1,0,N
SA,12,2023,1,0,N
NSW,12,2023,2,0,N
NSW,12,2023,1,0,N
NSW,12,2023,1,0,N
NT,12,2023,1,0,N
NSW,12,2023,1,0,N
VIC,12,2023,1,0,D
QLD,12,2023,1,0,D
VIC,12,2023,1,0,D
SA,12,2023,2,0,D
VIC,12,2023,1,0,D
NSW,12,2023,1,0,D
WA,12,2023,1,0,D
VIC,12,2023,1,0,D
WA,12,2023,1,0,D
VIC,12,2023,1,0,D
SA,12,2023,1,0,D
WA,12,2023,1,0,D
VIC,12,2023,1,0,N
SA,12,2023,1,0,N
NSW,12,2023,1,0,N
QLD,12,2023,1,0,N
